Posterior Heading,Desired Heading,Heading Error,Absolute Heading Error,Average Heading Error
204.3664856,204.3930969,0.026611328,0.026611328,
204.3664856,204.5023346,0.135848999,0.135848999,
204.4437714,204.4750671,0.031295776,0.031295776,
204.4437714,204.6752777,0.231506348,0.231506348,
204.4284973,204.4636688,0.035171509,0.035171509,
204.4980774,204.2765656,-0.221511841,0.221511841,
204.4980774,203.971817,-0.526260376,0.526260376,
204.4560852,203.9119263,-0.544158936,0.544158936,
204.2599182,203.9549255,-0.304992676,0.304992676,
204.2599182,204.2546539,-0.005264282,0.005264282,
204.2028351,204.428009,0.22517395,0.22517395,
204.2028351,204.6687622,0.465927124,0.465927124,
204.317688,204.5596924,0.242004395,0.242004395,
204.317688,204.3852997,0.067611694,0.067611694,
204.4813538,204.0942383,-0.387115479,0.387115479,
204.4813538,203.9976501,-0.483703613,0.483703613,
204.4230347,203.8904572,-0.532577515,0.532577515,
204.4230347,203.7312164,-0.691818237,0.691818237,
204.2535706,203.6460876,-0.60748291,0.60748291,
204.0295258,203.4487915,-0.580734253,0.580734253,
204.0295258,203.7225952,-0.306930542,0.306930542,
203.8902893,203.8811035,-0.009185791,0.009185791,
203.8902893,203.8158264,-0.074462891,0.074462891,
203.8844452,203.8322601,-0.052185059,0.052185059,
203.8844452,203.8099823,-0.074462891,0.074462891,
203.8675385,203.9619904,0.094451904,0.094451904,
203.8675385,204.0639496,0.196411133,0.196411133,
203.8584137,204.3304138,0.472000122,0.472000122,
203.9994354,204.5972443,0.597808838,0.597808838,
203.9994354,204.503479,0.504043579,0.504043579,
204.2266998,204.3296814,0.102981567,0.102981567,
204.2266998,204.2756348,0.048934937,0.048934937,
204.3158875,204.0575562,-0.258331299,0.258331299,
204.3158875,203.8964996,-0.419387817,0.419387817,
204.2894135,203.4911652,-0.798248291,0.798248291,
204.1099854,203.177475,-0.932510376,0.932510376,
204.1099854,203.4634705,-0.646514893,0.646514893,
203.81987,203.9322662,0.11239624,0.11239624,
203.81987,203.9315796,0.111709595,0.111709595,
203.8334808,203.8903809,0.056900024,0.056900024,
203.8334808,204.0284729,0.194992065,0.194992065,
203.8742523,204.0166321,0.142379761,0.142379761,
203.973877,203.8306732,-0.143203735,0.143203735,
203.973877,203.8372192,-0.136657715,0.136657715,
203.9699554,203.9371796,-0.032775879,0.032775879,
203.9284515,204.0032959,0.07484436,0.07484436,
203.9284515,204.1902924,0.26184082,0.26184082,
204.0053406,204.4254303,0.420089722,0.420089722,
204.0053406,204.4085236,0.403182983,0.403182983,
204.1616974,204.3010559,0.139358521,0.139358521,
204.2667084,204.1736145,-0.093093872,0.093093872,
204.2667084,204.1213837,-0.145324707,0.145324707,
204.2103729,204.2490997,0.038726807,0.038726807,
204.2041473,204.2182312,0.014083862,0.014083862,
204.2041473,204.302063,0.097915649,0.097915649,
204.2159576,204.5060577,0.290100098,0.290100098,
204.2159576,204.7114258,0.49546814,0.49546814,
204.3450928,204.6098175,0.264724731,0.264724731,
204.3450928,204.6143188,0.269226074,0.269226074,
204.485321,204.6579437,0.172622681,0.172622681,
204.5377502,204.8592834,0.321533203,0.321533203,
204.5377502,204.9952698,0.457519531,0.457519531,
204.6283112,205.0208282,0.39251709,0.39251709,
204.6283112,205.1095581,0.481246948,0.481246948,
204.8052826,204.8861542,0.080871582,0.080871582,
204.8052826,204.7710266,-0.034255981,0.034255981,
204.8991394,204.3694458,-0.529693604,0.529693604,
204.8991394,204.184494,-0.714645386,0.714645386,
204.8399048,204.0570831,-0.782821655,0.782821655,
204.5521545,203.7653503,-0.786804199,0.786804199,
204.5521545,204.2254333,-0.326721191,0.326721191,
204.2891846,204.6426392,0.35345459,0.35345459,
204.2891846,204.5082397,0.219055176,0.219055176,
204.334259,204.4528198,0.118560791,0.118560791,
204.334259,204.288147,-0.046112061,0.046112061,
204.4108887,204.0723877,-0.338500977,0.338500977,
204.3648682,203.8320465,-0.532821655,0.532821655,
204.3648682,203.6365662,-0.728302002,0.728302002,
204.1295776,204.2308655,0.101287842,0.101287842,
204.1295776,207.9202728,3.79069519,3.79069519,
204.2668457,209.6375122,5.370666504,5.370666504,
204.2668457,211.6752167,7.408370972,7.408370972,
205.9240112,220.0443115,14.12030029,14.12030029,
208.9980011,223.5691528,14.57115173,14.57115173,
208.9980011,223.418045,14.42004395,14.42004395,
208.9980011,234.8291016,25.83110046,25.83110046,
213.7386322,234.4198914,20.68125916,20.68125916,
219.253067,235.4941864,16.24111938,16.24111938,
219.253067,249.8930817,30.64001465,30.64001465,
225.4647827,248.2471313,22.78234863,22.78234863,
225.4647827,251.5166931,26.0519104,26.0519104,
232.5688324,260.4072266,27.83839417,27.83839417,
240.7047424,264.2982788,23.59353638,23.59353638,
240.7047424,260.843689,20.13894653,20.13894653,
249.2891846,267.2183838,17.92919922,17.92919922,
249.2891846,269.4593201,20.1701355,20.1701355,
255.5265808,267.2273865,11.70080566,11.70080566,
255.5265808,283.460083,27.9335022,27.9335022,
261.3128662,284.4581299,23.14526367,23.14526367,
267.8225708,288.1435852,20.3210144,20.3210144,
267.8225708,298.5950928,30.77252197,30.77252197,
276.2328491,296.3530273,20.12017822,20.12017822,
276.2328491,305.0718384,28.83898926,28.83898926,
285.4389648,298.9762878,13.537323,13.537323,
291.6425171,293.7172241,2.074707031,2.074707031,
291.6425171,294.6282043,2.985687256,2.985687256,
294.7487488,291.0358582,-3.712890625,3.712890625,
294.7487488,290.0010681,-4.747680664,4.747680664,
294.5942383,290.0030518,-4.591186523,4.591186523,
293.1265259,290.709259,-2.417266846,2.417266846,
293.1265259,291.3415833,-1.784942627,1.784942627,
292.0836792,292.5514221,0.46774292,0.46774292,
291.9267273,294.2304077,2.30368042,2.30368042,
292.2906494,294.5244751,2.233825684,2.233825684,
293.0266418,295.087738,2.061096191,2.061096191,
293.7702942,296.0859985,2.315704346,2.315704346,
293.7702942,295.7765503,2.006256104,2.006256104,
294.4659424,295.9750977,1.509155273,1.509155273,
295.0190735,296.2340393,1.21496582,1.21496582,
295.0190735,295.6804504,0.661376953,0.661376953,
295.3942871,295.1822205,-0.21206665,0.21206665,
295.3942871,294.2216797,-1.172607422,1.172607422,
295.3733215,293.8829956,-1.490325928,1.490325928,
295.0018005,293.603363,-1.3984375,1.3984375,
295.0018005,292.894043,-2.107757568,2.107757568,
294.5367126,293.1209717,-1.415740967,1.415740967,
293.9971313,293.0305176,-0.96661377,0.96661377,
293.9971313,293.5281982,-0.468933105,0.468933105,
293.7464905,293.6567078,-0.089782715,0.089782715,
293.7464905,294.7640076,1.01751709,1.01751709,
293.8558655,294.9102173,1.054351807,1.054351807,
293.8558655,295.0751343,1.219268799,1.219268799,
294.1498413,295.2785645,1.128723145,1.128723145,
294.4831238,294.9454956,0.462371826,0.462371826,
294.7417603,294.8684082,0.126647949,0.126647949,
294.7417603,294.233551,-0.508209229,0.508209229,
294.7529602,294.2255554,-0.527404785,0.527404785,
294.7529602,294.2223511,-0.530609131,0.530609131,
294.6103516,294.3861389,-0.224212646,0.224212646,
294.6103516,294.4020996,-0.208251953,0.208251953,
294.5236511,294.6245728,0.100921631,0.100921631,
294.5214233,294.5673523,0.045928955,0.045928955,
294.5214233,294.5679321,0.046508789,0.046508789,
294.5571899,294.5501709,-0.007019043,0.007019043,
294.5571899,294.6523438,0.095153809,0.095153809,
294.5815125,294.9433289,0.361816406,0.361816406,
294.6275635,294.9319153,0.304351807,0.304351807,
294.6275635,294.6979675,0.070404053,0.070404053,
294.7328796,294.6447754,-0.088104248,0.088104248,
294.7328796,292.5112915,-2.221588135,2.221588135,
294.4693909,291.9578552,-2.511535645,2.511535645,
294.4693909,291.2067871,-3.26260376,3.26260376,
293.7073669,285.800354,-7.907012939,7.907012939,
291.8103333,283.4215088,-8.388824463,8.388824463,
291.8103333,274.0744019,-17.7359314,17.7359314,
289.2956848,272.79953,-16.49615479,16.49615479,
289.2956848,269.4819031,-19.81378174,19.81378174,
285.063324,255.6220093,-29.4413147,29.4413147,
279.7889099,251.6327362,-28.15617371,28.15617371,
279.7889099,250.4711761,-29.31773376,29.31773376,
272.6417236,247.0342712,-25.60745239,25.60745239,
272.6417236,230.8720398,-41.76968384,41.76968384,
263.4549866,231.8059235,-31.64906311,31.64906311,
263.4549866,211.837326,-51.61766052,51.61766052,
252.5762939,216.8493195,-35.72697449,35.72697449,
243.393219,212.6903839,-30.70283508,30.70283508,
243.393219,217.0814209,-26.3117981,26.3117981,
233.7016296,197.6225586,-36.07907104,36.07907104,
233.7016296,200.5561829,-33.14544678,33.14544678,
224.1103363,192.8214417,-31.28889465,31.28889465,
224.1103363,189.6232605,-34.48707581,34.48707581,
214.5842285,194.9249573,-19.65927124,19.65927124,
205.5942078,191.3091431,-14.2850647,14.2850647,
205.5942078,200.0339355,-5.560272217,5.560272217,
199.8873444,207.4120026,7.524658203,7.524658203,
199.8873444,209.1459045,9.258560181,9.258560181,
199.1660004,211.2679749,12.10197449,12.10197449,
202.3497467,208.7897186,6.439971924,6.439971924,
202.3497467,209.1497803,6.800033569,6.800033569,
205.277359,206.6400604,1.362701416,1.362701416,
205.277359,205.4681396,0.19078064,0.19078064,
206.5947113,203.7015991,-2.893112183,2.893112183,
206.5947113,202.7007446,-3.893966675,3.893966675,
206.0662537,201.8924713,-4.173782349,4.173782349,
206.0662537,200.960083,-5.106170654,5.106170654,
204.8314514,201.5085297,-3.322921753,3.322921753,
203.5925598,201.450531,-2.142028809,2.142028809,
203.5925598,202.7485199,-0.844039917,0.844039917,
202.9778748,203.6965027,0.71862793,0.71862793,
202.9778748,204.1750183,1.197143555,1.197143555,
202.9974213,205.1404572,2.143035889,2.143035889,
203.5863495,205.613266,2.026916504,2.026916504,
203.5863495,205.7059174,2.119567871,2.119567871,
204.2651215,205.6852112,1.420089722,1.420089722,
204.8292389,205.8182678,0.989028931,0.989028931,
