X,Y
303273.8005,3900418.65
303274.9009,3900421.016
303275.7778,3900422.935
303276.6976,3900424.998
303277.6282,3900427.061
303278.8367,3900429.682
303279.644,3900431.366
303280.5225,3900433.388
303281.3166,3900435.1
303282.2532,3900437.097
303283.218,3900439.109
303284.132,3900441.179
303284.9898,3900443.132
303285.8234,3900444.95
303286.848,3900447.351
303287.8636,3900449.601
303288.6686,3900451.403
303289.8107,3900453.944
303290.6651,3900456.026
303291.6066,3900458.211
303292.5416,3900460.349
303293.3535,3900462.195
303294.1792,3900464.042
303295.2194,3900466.377
303295.9792,3900468.087
303296.9357,3900470.279
303297.8184,3900472.303
303298.5806,3900474.023
303299.4415,3900475.892
303300.2733,3900477.771
303301.2391,3900479.904
303302.204,3900482.05
303303.422,3900484.738
303304.2114,3900486.502
303305.1212,3900488.555
303306.1032,3900490.585
303306.9445,3900492.485
303307.7939,3900494.406
303308.7349,3900496.464
303309.6088,3900498.53
303310.4609,3900500.58
303311.5385,3900502.887
303312.5986,3900504.865
303313.7435,3900507.13
303314.6242,3900509.021
303315.3087,3900510.644
303316.4389,3900513.156
303317.279,3900515.081
303318.2038,3900517.14
303319.0678,3900518.967
303320.1696,3900521.266
303321.5424,3900524.44
303322.4566,3900526.347
303323.5147,3900528.532
303324.5207,3900530.438
303325.6018,3900532.098
303326.9805,3900533.84
303329.071,3900535.309
303330.8975,3900535.928
303332.3191,3900536.007
303334.9091,3900535.406
303336.9173,3900534.591
303339.0841,3900533.799
303341.4971,3900532.94
303343.5983,3900532.139
303345.6844,3900531.257
303348.0442,3900530.208
303350.7032,3900529.004
303353.0989,3900527.937
303355.399,3900526.947
303357.0971,3900526.194
303359.4087,3900525.176
303361.5501,3900524.219
303363.2315,3900523.455
303366.3244,3900521.989
303368.4722,3900520.981
303370.7501,3900519.918
303372.7645,3900519.001
303375.3541,3900517.817
303378.5422,3900516.397
303382.3059,3900514.929
303385.5712,3900514.21
303389.2094,3900514.666
303391.0098,3900515.651
303392.6551,3900517.232
303393.5323,3900518.421
303394.7991,3900520.469
303395.9071,3900522.299
303397.1971,3900524.456
303398.8923,3900527.371
303400.1025,3900529.828
303401.3061,3900532.154
303402.4077,3900534.368
303403.3243,3900536.341
303404.15,3900538.168
303405.3144,3900540.705
303406.4222,3900543.034
303407.5614,3900545.484
303408.7298,3900548.058
303409.5323,3900549.794
303410.399,3900551.703
303411.3939,3900553.963
303412.182,3900555.745
303412.9451,3900557.538
303414.1265,3900560.163
303415.3763,3900562.415
303416.363,3900564.422
303417.0948,3900566.354
303417.8992,3900568.458
303418.823,3900570.687
303419.8254,3900572.932
303420.7956,3900575.068
303422.142,3900577.992
303423.2365,3900580.404
303424.6156,3900583.411
303425.3122,3900584.863
303426.3915,3900587.137
303427.1633,3900588.88
303428.1178,3900591.06
303428.8431,3900592.72
303429.7295,3900594.778
303430.7303,3900597.071
303431.623,3900599.065
303432.6657,3900601.355
303433.4264,3900603.099
303434.3221,3900605.154
303435.2331,3900607.185
303436.1564,3900609.211
303437.0034,3900611.119
303437.9969,3900613.304
303439.4265,3900616.496
303440.8162,3900619.525
303441.7273,3900621.551
303442.5642,3900623.417
303443.4182,3900625.289
303444.2697,3900627.166
303445.0612,3900628.9
303446.3329,3900631.804
303447.2056,3900633.84
303448.115,3900635.881
303449.0406,3900637.93
303449.9843,3900639.982
303450.8427,3900641.881
303451.8211,3900644.059
303452.6641,3900645.92
303453.6021,3900647.996
303454.5229,3900650.068
303455.4616,3900652.167
303456.2717,3900653.969
303457.2476,3900656.167
303458.1802,3900658.336
303458.9713,3900660.182
303459.8993,3900662.305
303460.7748,3900664.313
303461.7797,3900666.644
303462.8642,3900669.154
303463.6236,3900670.924
303464.6337,3900673.296
303465.5858,3900675.526
303466.6761,3900678.05
303467.5817,3900680.115
303468.4158,3900682.024
303469.5166,3900684.537
303470.837,3900687.598
303472.5366,3900691.605
303473.5773,3900694.002
303474.6609,3900696.383
303475.5288,3900698.216
303476.5093,3900700.225
303478.2323,3900703.743
303479.0695,3900705.51
303480.0565,3900707.582
303481.0043,3900709.592
303481.9927,3900711.726
303482.9061,3900713.684
303483.7585,3900715.526
303484.6797,3900717.535
303485.8221,3900720.116
303486.6224,3900721.976
303487.5701,3900724.118
303488.4607,3900726.124
303489.2059,3900727.853
303490.0821,3900729.87
303491.0446,3900731.999
303491.9006,3900733.832
303492.8501,3900735.789
303494.1671,3900738.222
303495.3025,3900740.003
303496.5888,3900741.676
303498.3477,3900743.512
303500.1085,3900744.908
303501.7818,3900745.959
303503.4258,3900746.793
303505.6018,3900747.599
303507.1225,3900747.977
303509.6365,3900748.311
303511.8983,3900748.309
303514.7046,3900747.891
303516.8531,3900747.284
303519.1196,3900746.442
303521.5018,3900745.461
303523.2255,3900744.737
303525.5619,3900743.735
303527.4244,3900742.921
303529.9059,3900741.826
303532.8378,3900740.525
303535.3046,3900739.427
303537.1804,3900738.604
303539.5363,3900737.562
303541.8709,3900736.519
303544.3305,3900735.409
303546.456,3900734.448
303549.0153,3900733.292
303550.9611,3900732.411
303553.3811,3900731.322
303555.9919,3900730.152
303558.9698,3900728.83
303561.0134,3900727.922
303563.0409,3900727.02
303565.6708,3900725.852
303567.9855,3900724.835
303570.1366,3900723.885
303572.2829,3900722.941
303575.027,3900721.727
303577.4364,3900720.589
303579.5482,3900719.592
303581.5334,3900718.7
303583.7024,3900717.748
303586.3407,3900716.565
303588.5476,3900715.575
303591.0613,3900714.464
303593.4003,3900713.417
303596.0562,3900712.231
303597.9285,3900711.392
303600.0851,3900710.437
303602.0183,3900709.577
303604.5508,3900708.439
303606.567,3900707.562
303609.0906,3900706.469
303611.8247,3900705.27
303614.5244,3900704.076
303616.473,3900703.213
303617.8185,3900702.624
303619.0093,3900702.114
